lambda,closed_form_mi,empirical_mi
0.0,0.0,0.0
0.2,0.00497511064084899,0.004975110640849101
0.4,0.019606992204973417,0.019606992204973306
0.6000000000000001,0.043053013809536966,0.043053013809536855
0.8,0.07402609951425754,0.07402609951425743
1.0,0.11094407167172737,0.11094407167172715
1.2000000000000002,0.15209445342073546,0.15209445342073535
1.4000000000000001,0.1957872146235089,0.19578721462350868
1.6,0.2404758558858856,0.24047585588588571
1.8,0.28483765321299326,0.28483765321299326
2.0,0.32781332547273745,0.3278133254727378
2.2,0.36861278472794196,0.3686127847279421
2.4000000000000004,0.406696556820582,0.40669655682058203
2.6,0.441742595699574,0.44174259569957375
2.8000000000000003,0.47360666175514143,0.47360666175514143
3.0,0.5022822094535033,0.5022822094535029
3.2,0.527863534447869,0.527863534447869
3.4000000000000004,0.5505141301603484,0.5505141301603482
3.6,0.5704409106750198,0.5704409106750201
3.8000000000000003,0.5878741345477699,0.5878741345477704
4.0,0.6030524127937693,0.6030524127937693
